tSec,stage,domNodes,cellNodes,heapMB,avgFrameMs,maxFrameMs,jankFrames,sampleFrames,consoleErrors,screen
0,1,112,24,9.54,3.45,16.7,0,2,0,PLAY
60.1,274,112,24,9.54,16.67,16.8,0,600,0,PLAY
120.1,546,112,24,9.54,16.67,16.8,0,600,0,PLAY
180.1,819,112,24,9.54,16.67,16.8,0,600,0,PLAY
240.1,1092,112,24,9.54,16.67,16.8,0,600,0,PLAY
300.1,1365,112,24,9.54,16.67,16.8,0,600,0,PLAY
360.2,1638,112,24,9.54,16.67,16.8,0,600,0,PLAY
420.2,1910,112,24,9.54,16.67,16.8,0,600,0,PLAY
480.2,2183,112,24,9.54,16.67,16.8,0,600,0,PLAY
540.2,2456,112,24,9.54,16.67,16.8,0,600,0,PLAY
600.2,2729,112,24,9.54,16.67,16.8,0,600,0,PLAY
