난이도T,회차,도달단계,생존시간초,종료사유,구분
3.6,1,23,28.8,timeout,자동플레이(사람아님)
3.6,2,26,32.8,timeout,자동플레이(사람아님)
3.6,3,26,33.3,timeout,자동플레이(사람아님)
3.6,4,17,19.6,timeout,자동플레이(사람아님)
3.6,5,28,35.6,timeout,자동플레이(사람아님)
3.6,6,11,10.5,timeout,자동플레이(사람아님)
3.6,7,21,25.9,timeout,자동플레이(사람아님)
3.6,8,16,17.7,timeout,자동플레이(사람아님)
3.6,9,25,30.8,timeout,자동플레이(사람아님)
3.6,10,20,21.4,timeout,자동플레이(사람아님)
4.4,1,21,28.9,timeout,자동플레이(사람아님)
4.4,2,27,37.1,timeout,자동플레이(사람아님)
4.4,3,26,33.9,timeout,자동플레이(사람아님)
4.4,4,17,20.3,timeout,자동플레이(사람아님)
4.4,5,19,22.3,timeout,자동플레이(사람아님)
4.4,6,23,29.6,timeout,자동플레이(사람아님)
4.4,7,21,26.9,timeout,자동플레이(사람아님)
4.4,8,16,16.1,timeout,자동플레이(사람아님)
4.4,9,26,34.1,timeout,자동플레이(사람아님)
4.4,10,20,23.2,timeout,자동플레이(사람아님)
5.4,1,12,15.5,timeout,자동플레이(사람아님)
5.4,2,27,40.2,timeout,자동플레이(사람아님)
5.4,3,23,32.1,timeout,자동플레이(사람아님)
5.4,4,17,19.8,timeout,자동플레이(사람아님)
5.4,5,19,23.5,timeout,자동플레이(사람아님)
5.4,6,22,27.3,timeout,자동플레이(사람아님)
5.4,7,21,28.3,timeout,자동플레이(사람아님)
5.4,8,16,18.7,timeout,자동플레이(사람아님)
5.4,9,24,34.3,timeout,자동플레이(사람아님)
5.4,10,18,20.8,timeout,자동플레이(사람아님)
