#,난이도T,도달단계,생존시간(초),실패원인,구분
1,4.4,21,28.9,시간 초과,자동플레이(사람아님)
2,4.4,27,37.1,시간 초과,자동플레이(사람아님)
3,4.4,26,33.9,시간 초과,자동플레이(사람아님)
4,4.4,17,20.3,시간 초과,자동플레이(사람아님)
5,4.4,19,22.3,시간 초과,자동플레이(사람아님)
6,4.4,23,29.6,시간 초과,자동플레이(사람아님)
7,4.4,21,26.9,시간 초과,자동플레이(사람아님)
8,4.4,16,16.1,시간 초과,자동플레이(사람아님)
9,4.4,26,34.1,시간 초과,자동플레이(사람아님)
10,4.4,20,23.2,시간 초과,자동플레이(사람아님)
11,5.4,12,15.5,시간 초과,자동플레이(사람아님)
12,5.4,27,40.2,시간 초과,자동플레이(사람아님)
13,5.4,23,32.1,시간 초과,자동플레이(사람아님)
14,5.4,17,19.8,시간 초과,자동플레이(사람아님)
15,5.4,19,23.5,시간 초과,자동플레이(사람아님)
16,5.4,22,27.3,시간 초과,자동플레이(사람아님)
17,5.4,21,28.3,시간 초과,자동플레이(사람아님)
18,5.4,16,18.7,시간 초과,자동플레이(사람아님)
19,5.4,24,34.3,시간 초과,자동플레이(사람아님)
20,5.4,18,20.8,시간 초과,자동플레이(사람아님)
